target (driver),lib (driven),E,tau,convergence_p_value,ccm_rho,average_trials_rho,p95_trials_rho,p99_trials_rho,activity,average_direction,pct_time_positive,pct_time_negative,Domain,Phylum,Class,Order,Family,Domain_lib,Phylum_lib,Class_lib,Order_lib,Family_lib
f__Flavobacteriaceae,f__Rhodobacteraceae,5,-3,0.0002248714103774,0.153038896456757,-0.0396587652366827,0.1889433993742643,0.2801107936405372,13.559322033898304,0.4320362444418704,75.42372881355932,0.847457627118644,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
f__Flavobacteriaceae,f__Cyclobacteriaceae,2,-3,2.3157969362557424e-12,0.4277919330030309,0.0013748578984721,0.2123970312454632,0.3162772036990642,11.023622047244094,0.1617178564369857,62.20472440944882,28.346456692913385,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae
f__Flavobacteriaceae,f__Marinomonadaceae,2,-3,2.992310906522185e-07,0.2289658302271626,-0.0064788880078282,0.2019362303561569,0.2825543954601061,7.086614173228346,0.1297060550921818,74.80314960629921,15.748031496062993,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Marinomonadaceae
f__Flavobacteriaceae,f__Cryomorphaceae,5,-1,7.522684603716823e-08,0.5035392773636816,-0.0532914489696482,0.2675375570272961,0.3447041867930577,19.84126984126984,0.4309112578736537,82.53968253968253,0.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae
f__Flavobacteriaceae,f__Colwelliaceae,4,-2,2.065567300146224e-21,0.3583499279139605,-0.0494739710606952,0.2185458800854926,0.3274261454655303,12.096774193548388,0.3854259760376525,83.06451612903226,0.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Colwelliaceae
f__Flavobacteriaceae,f__Idiomarinaceae,5,-2,3.966565342638848e-15,0.3729777400764557,-0.0813804611944652,0.1881208432360883,0.3166335688396673,14.754098360655735,0.6459733422202214,68.85245901639344,10.655737704918032,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Idiomarinaceae
f__Flavobacteriaceae,f__Pseudomonadaceae,5,-3,1.5155735964080583e-11,0.2852067707142402,-0.0456951848105726,0.2412464808634519,0.3160184954403875,8.47457627118644,0.4716230889772715,76.27118644067797,0.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
f__Flavobacteriaceae,f__Puniceicoccaceae,3,-3,1.6397836695149542e-15,0.3317763121449733,-0.0176223009361249,0.210751456135484,0.2867356486379226,14.516129032258066,0.2022024251998658,85.48387096774194,0.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae
f__Flavobacteriaceae,f__Oligoflexales,5,-3,3.255058209642411e-27,0.4612691939390932,-0.029972807719716,0.3001920438525851,0.336182667899247,13.559322033898304,0.6365526602192925,61.01694915254237,15.254237288135592,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__Oligoflexales
f__Flavobacteriaceae,f__Alcanivoracaceae1,1,-3,1.890656070113311e-09,0.1543893781376684,0.0156530546772507,0.2207138237037246,0.2602282615715307,4.615384615384616,0.2550774930530587,83.84615384615385,11.538461538461538,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Alcanivoracaceae1
f__Flavobacteriaceae,f__Rhizobiaceae,5,-2,6.984160498289802e-18,0.3863306380563877,-0.0270089330416431,0.2396640937211485,0.2824540384953852,13.114754098360656,0.3881275461156646,70.49180327868852,9.01639344262295,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
f__Flavobacteriaceae,f__Halieaceae,2,-1,7.396778551857175e-18,0.3303490882009091,-0.0194048380300851,0.1883905163626003,0.2858002351957291,10.852713178294572,-0.2837461017692169,34.10852713178294,58.13953488372093,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Halieaceae
f__Flavobacteriaceae,f__Hyphomonadaceae,3,-1,0.00120635101572,0.3165733661116941,-0.0426952247719439,0.2144530990152119,0.3353601872762369,8.59375,0.588088094920928,75.78125,13.28125,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae
f__Flavobacteriaceae,f__Sneathiellaceae,4,-2,2.7772741589325407e-05,0.5141802546088742,-0.0330601680813549,0.1912908996240777,0.3445246737167896,17.741935483870968,0.4704673679832056,83.06451612903226,0.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sneathiellales,f__Sneathiellaceae
f__Flavobacteriaceae,f__Rubritaleaceae,5,-2,5.843069610724596e-10,0.204185501037786,-0.0271590691824716,0.2419886818904352,0.3044234860770141,11.475409836065571,0.1669872381157592,79.50819672131148,0.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae
f__Flavobacteriaceae,f__Crocinitomicaceae,4,-3,1.7612142937609458e-26,0.5316425683726186,-0.0381580564247998,0.1809868882937593,0.3274965989688175,15.702479338842975,0.6682648105896289,80.99173553719008,0.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae
f__Flavobacteriaceae,f__Halomonadaceae,5,-3,0.0007313305806925,0.210103171150109,-0.0254663885758522,0.2058787021161428,0.2709089595359059,10.16949152542373,0.3788632313698302,76.27118644067797,0.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae
f__Flavobacteriaceae,f__Unknown_Family,1,-3,1.1484749513438037e-08,0.2570310041385018,-0.011460673896369,0.1742681087380658,0.2484313307250365,8.461538461538462,-0.4184578202013062,0.0,95.3846153846154,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__Unknown_Family
f__Flavobacteriaceae,f__Unknown_Family,1,-3,1.1484749513438037e-08,0.2570310041385018,-0.011460673896369,0.1742681087380658,0.2484313307250365,8.461538461538462,-0.4184578202013062,0.0,95.3846153846154,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Oxyphotobacteria_Incertae_Sedis,f__Unknown_Family
f__Flavobacteriaceae,f__Unknown_Family,1,-3,1.1484749513438037e-08,0.2570310041385018,-0.011460673896369,0.1742681087380658,0.2484313307250365,8.461538461538462,-0.4184578202013062,0.0,95.3846153846154,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Alphaproteobacteria_Incertae_Sedis,f__Unknown_Family
